probe_id,country,asn,samples,rtt_min,rtt_median,rtt_p95,jitter_iqr,loss_pct,distance_km,min_rtt_ms,inflation
6629,US,202422,1077,156.17,161.45,162.42,0.23,0.0,10037.6,100.45,1.55
6643,US,202422,1074,170.44,172.51,174.16,0.13,0.0,10974.2,109.82,1.55
6644,US,199524,1074,145.1,149.3,149.61,0.16,0.0,9378.8,93.85,1.55
6988,US,16552,1080,175.43,181.65,182.56,0.19,0.0,11325.2,113.33,1.55
7187,US,208398,1080,150.55,155.0,155.84,0.23,0.0,9720.5,97.27,1.55
7205,US,204770,1074,155.23,160.55,161.4,0.14,0.0,10037.9,100.45,1.55
6452,US,20473,1077,168.74,174.83,176.47,0.14,0.0,10975.3,109.83,1.54
6574,US,40809,1077,144.82,149.04,150.79,0.17,0.0,9378.1,93.85,1.54
6725,US,21700,1077,144.96,146.05,148.15,0.14,0.0,9377.8,93.84,1.54
7014,US,19528,1073,149.65,152.6,154.03,0.15,0.19,9687.6,96.94,1.54
7513,US,14907,1080,149.52,154.74,155.67,0.21,0.0,9720.7,97.27,1.54
7550,US,397032,1074,169.4,175.57,177.25,0.26,0.0,10974.3,109.82,1.54
7692,US,27446,1079,159.05,165.21,166.92,0.31,0.09,10305.5,103.13,1.54
6454,US,20473,1080,162.32,167.47,169.1,0.24,0.0,10569.0,105.76,1.53
6927,US,917,1076,143.18,144.29,145.13,0.12,0.0,9378.0,93.85,1.53
6928,US,917,1079,148.97,154.14,155.82,0.19,0.09,9720.1,97.27,1.53
6946,US,16552,1074,143.83,148.1,149.69,0.15,0.0,9377.0,93.84,1.53
7283,HN,64150,1076,189.97,196.02,200.08,0.38,0.0,12369.4,123.78,1.53
7498,US,49544,1074,149.01,153.99,154.94,0.16,0.0,9720.3,97.27,1.53
7471,US,3842,1080,142.36,146.54,147.41,0.1,0.0,9377.8,93.84,1.52
7474,US,3842,1076,160.26,165.59,171.78,1.62,0.09,10569.0,105.76,1.52
6972,US,14061,1080,141.61,141.78,142.12,0.16,0.0,9380.0,93.87,1.51
6428,US,32425,1074,147.68,152.85,154.52,0.21,0.0,9825.7,98.33,1.5
7348,US,19750,1080,145.97,152.03,152.89,0.1,0.0,9723.2,97.3,1.5
6769,US,31713,1074,143.64,147.88,150.61,0.49,0.0,9720.0,97.27,1.48
7346,US,400226,1080,171.0,175.19,176.83,0.17,0.0,11514.5,115.22,1.48
7193,US,59678,1075,136.93,142.22,143.08,0.23,0.09,9420.0,94.27,1.45
7020,IQ,21277,1077,0.1,0.3,0.89,0.25,0.0,0.0,0.0,
