block,profile,arm,workload,bw,loss,rep,ttfb_ms,total_ms,bytes,objects
primary,P2,quic,W3,50,0,17,338.473,338.562,10240,1
primary,P2,tcp-bbr,W3,50,0,7,280.476,358.996,10240,1
primary,P2,tcp-bbr,W3,50,0,10,244.929,343.175,10240,1
primary,P2,tcp-cubic,W3,50,0,30,248.501,320.564,10240,1
primary,P2,tcp-bbr,W3,50,0,35,239.792,320.345,10240,1
primary,P2,tcp-cubic,W3,50,0,48,256.785,351.415,10240,1
primary,P2,tcp-cubic,W3,50,0,14,253.239,342.136,10240,1
primary,P2,tcp-cubic,W3,50,0,22,253.393,331.265,10240,1
primary,P2,quic,W3,50,0,8,198.508,198.593,10240,1
primary,P2,tcp-cubic,W3,50,0,47,321.684,376.674,10240,1
primary,P2,tcp-cubic,W3,50,0,31,275.921,356.074,10240,1
primary,P2,tcp-cubic,W3,50,0,35,270.495,323.467,10240,1
primary,P2,tcp-bbr,W3,50,0,22,437.564,523.33,10240,1
primary,P2,tcp-bbr,W3,50,0,31,259.378,353.979,10240,1
primary,P2,tcp-cubic,W3,50,0,2,254.686,331.782,10240,1
primary,P2,tcp-bbr,W3,50,0,26,266.824,349.162,10240,1
primary,P2,quic,W3,50,0,4,181.077,233.023,10240,1
primary,P2,tcp-bbr,W3,50,0,43,310.485,394.586,10240,1
primary,P2,quic,W3,50,0,40,188.073,188.168,10240,1
primary,P2,quic,W3,50,0,28,348.321,349.158,10240,1
primary,P2,quic,W3,50,0,34,186.207,186.297,10240,1
primary,P2,tcp-cubic,W3,50,0,49,254.75,356.974,10240,1
primary,P2,quic,W3,50,0,13,207.317,207.399,10240,1
primary,P2,tcp-bbr,W3,50,0,39,254.469,333.24,10240,1
primary,P2,quic,W3,50,0,41,150.494,196.63,10240,1
primary,P2,tcp-bbr,W3,50,0,25,262.965,385.675,10240,1
primary,P2,tcp-bbr,W3,50,0,21,321.178,482.155,10240,1
primary,P2,tcp-cubic,W3,50,0,25,235.625,320.436,10240,1
primary,P2,tcp-cubic,W3,50,0,24,259.827,339.027,10240,1
primary,P2,quic,W3,50,0,27,173.034,173.125,10240,1
primary,P2,tcp-bbr,W3,50,0,18,306.509,398.303,10240,1
primary,P2,tcp-cubic,W3,50,0,21,257.515,331.655,10240,1
primary,P2,quic,W3,50,0,6,166.119,167.215,10240,1
primary,P2,quic,W3,50,0,36,228.256,233.509,10240,1
primary,P2,tcp-cubic,W3,50,0,15,298.619,367.765,10240,1
primary,P2,tcp-cubic,W3,50,0,7,267.604,350.082,10240,1
primary,P2,tcp-bbr,W3,50,0,2,260.672,363.118,10240,1
primary,P2,quic,W3,50,0,14,395.418,397.27,10240,1
primary,P2,quic,W3,50,0,22,182.231,182.357,10240,1
primary,P2,tcp-cubic,W3,50,0,10,307.993,386.765,10240,1
primary,P2,quic,W3,50,0,10,195.658,236.438,10240,1
primary,P2,tcp-cubic,W3,50,0,11,284.83,338.973,10240,1
primary,P2,quic,W3,50,0,39,445.049,445.138,10240,1
primary,P2,tcp-cubic,W3,50,0,26,265.79,334.295,10240,1
primary,P2,quic,W3,50,0,25,179.173,179.262,10240,1
primary,P2,quic,W3,50,0,21,186.298,186.394,10240,1
primary,P2,quic,W3,50,0,47,322.179,322.283,10240,1
primary,P2,tcp-bbr,W3,50,0,6,294.967,436.721,10240,1
primary,P2,tcp-bbr,W3,50,0,34,257.89,349.829,10240,1
primary,P2,tcp-cubic,W3,50,0,45,259.394,356.613,10240,1
primary,P2,quic,W3,50,0,30,170.671,170.777,10240,1
primary,P2,quic,W3,50,0,35,375.566,375.656,10240,1
primary,P2,tcp-bbr,W3,50,0,0,280.401,368.238,10240,1
primary,P2,tcp-bbr,W3,50,0,41,289.773,323.54,10240,1
primary,P2,quic,W3,50,0,44,338.066,340.992,10240,1
primary,P2,tcp-cubic,W3,50,0,29,279.779,317.824,10240,1
primary,P2,tcp-cubic,W3,50,0,41,264.258,353.274,10240,1
primary,P2,tcp-bbr,W3,50,0,40,259.26,345.726,10240,1
primary,P2,tcp-cubic,W3,50,0,16,258.973,341.344,10240,1
primary,P2,quic,W3,50,0,29,187.838,187.937,10240,1
primary,P2,quic,W3,50,0,2,189.674,189.768,10240,1
primary,P2,tcp-bbr,W3,50,0,12,262.227,357.285,10240,1
primary,P2,tcp-bbr,W3,50,0,15,260.863,336.056,10240,1
primary,P2,quic,W3,50,0,37,404.017,404.114,10240,1
primary,P2,tcp-bbr,W3,50,0,28,335.274,437.129,10240,1
primary,P2,tcp-bbr,W3,50,0,1,298.084,382.163,10240,1
primary,P2,tcp-bbr,W3,50,0,30,240.339,338.399,10240,1
primary,P2,quic,W3,50,0,31,422.193,422.276,10240,1
primary,P2,tcp-cubic,W3,50,0,32,339.891,391.423,10240,1
primary,P2,tcp-cubic,W3,50,0,46,263.136,330.433,10240,1
primary,P2,tcp-bbr,W3,50,0,20,252.576,360.391,10240,1
primary,P2,quic,W3,50,0,49,565.698,566.689,10240,1
primary,P2,tcp-cubic,W3,50,0,20,280.66,398.136,10240,1
primary,P2,quic,W3,50,0,46,179.757,179.852,10240,1
primary,P2,tcp-cubic,W3,50,0,37,416.319,495.315,10240,1
primary,P2,tcp-cubic,W3,50,0,3,252.016,325.174,10240,1
primary,P2,tcp-bbr,W3,50,0,11,293.931,332.939,10240,1
primary,P2,tcp-cubic,W3,50,0,43,257.597,326.722,10240,1
primary,P2,tcp-cubic,W3,50,0,5,250.234,376.638,10240,1
primary,P2,tcp-bbr,W3,50,0,42,349.169,424.276,10240,1
primary,P2,tcp-bbr,W3,50,0,33,250.156,358.295,10240,1
primary,P2,quic,W3,50,0,7,384.691,384.774,10240,1
primary,P2,tcp-bbr,W3,50,0,47,353.535,409.093,10240,1
primary,P2,tcp-bbr,W3,50,0,24,261.592,398.533,10240,1
primary,P2,tcp-cubic,W3,50,0,9,300.568,413.333,10240,1
primary,P2,tcp-bbr,W3,50,0,32,339.958,413.067,10240,1
primary,P2,quic,W3,50,0,23,438.683,441.534,10240,1
primary,P2,tcp-bbr,W3,50,0,9,262.607,355.502,10240,1
primary,P2,quic,W3,50,0,9,407.847,407.94,10240,1
primary,P2,quic,W3,50,0,11,195.833,195.925,10240,1
primary,P2,tcp-cubic,W3,50,0,42,255.979,339.056,10240,1
primary,P2,quic,W3,50,0,33,163.883,163.974,10240,1
primary,P2,tcp-cubic,W3,50,0,6,267.785,353.361,10240,1
primary,P2,tcp-bbr,W3,50,0,8,263.239,349.587,10240,1
primary,P2,quic,W3,50,0,42,172.1,174.053,10240,1
primary,P2,tcp-bbr,W3,50,0,44,231.356,330.25,10240,1
primary,P2,tcp-cubic,W3,50,0,34,251.674,328.051,10240,1
primary,P2,quic,W3,50,0,3,158.767,159.661,10240,1
primary,P2,tcp-bbr,W3,50,0,37,263.632,348.97,10240,1
primary,P2,tcp-bbr,W3,50,0,27,220.337,318.918,10240,1
primary,P2,tcp-cubic,W3,50,0,0,350.634,350.784,10240,1
primary,P2,tcp-cubic,W3,50,0,27,292.008,376.4,10240,1
primary,P2,tcp-bbr,W3,50,0,3,257.87,329.825,10240,1
primary,P2,quic,W3,50,0,5,241.22,241.686,10240,1
primary,P2,tcp-bbr,W3,50,0,19,398.666,528.278,10240,1
primary,P2,tcp-cubic,W3,50,0,33,309.52,431.441,10240,1
primary,P3,tcp-cubic,W3,50,0,16,503.578,667.039,10240,1
primary,P3,tcp-bbr,W3,50,0,23,684.025,861.018,10240,1
primary,P3,quic,W3,50,0,16,354.413,355.25,10240,1
primary,P3,tcp-bbr,W3,50,0,3,506.218,661.248,10240,1
